,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
484,n032t2,lh,pmfs_p,0.177578717,2.524,Tertiary
512,n032t2,rh,sfs_a,0.244549751,2.343,Non-Tertiary
540,n032t2,lh,sfs_a,0.215406299,2.674,Non-Tertiary
568,n032t2,rh,sfs_p,0.269963026,2.483,Non-Tertiary
596,n032t2,lh,sfs_p,0.259099573,2.648,Non-Tertiary
624,n032t2,rh,sprs,0.199831203,2.272,Non-Tertiary
652,n032t2,lh,sprs,0.179798648,2.518,Non-Tertiary
9,n035t2,rh,central,0.220482916,1.836,Non-Tertiary
37,n035t2,lh,central,0.219499022,1.928,Non-Tertiary
65,n035t2,rh,ifs,0.132020697,2.042,Non-Tertiary
93,n035t2,lh,ifs,0.26080972,2.185,Non-Tertiary
121,n035t2,rh,imfs_h,0.163340479,1.857,Non-Tertiary
149,n035t2,lh,imfs_h,0.185599014,2.2,Non-Tertiary
177,n035t2,rh,imfs_v,0.16385375,1.735,Non-Tertiary
205,n035t2,lh,imfs_v,0.097594485,2.133,Non-Tertiary
233,n035t2,rh,iprs,0.303663731,2.536,Non-Tertiary
261,n035t2,lh,iprs,0.189830601,2.376,Non-Tertiary
289,n035t2,rh,pimfs,-0.105019256,2.4,Tertiary
317,n035t2,lh,pimfs,0.163888603,2.184,Tertiary
345,n035t2,rh,pmfs_a,0.172631964,1.854,Tertiary
373,n035t2,lh,pmfs_a,-0.093795381,1.973,Tertiary
401,n035t2,rh,pmfs_i,-0.269080639,2.583,Tertiary
429,n035t2,lh,pmfs_i,0.128865272,2.703,Tertiary
457,n035t2,rh,pmfs_p,0.020847844,2.266,Tertiary
485,n035t2,lh,pmfs_p,0.036045853,2.433,Tertiary
513,n035t2,rh,sfs_a,0.28032127,2.062,Non-Tertiary
541,n035t2,lh,sfs_a,0.319014937,2.477,Non-Tertiary
569,n035t2,rh,sfs_p,0.274107099,2.358,Non-Tertiary
597,n035t2,lh,sfs_p,0.214167908,2.375,Non-Tertiary
625,n035t2,rh,sprs,0.263860255,2.208,Non-Tertiary
653,n035t2,lh,sprs,0.27783975,2.301,Non-Tertiary
10,n039t2,rh,central,0.216423362,1.996,Non-Tertiary
38,n039t2,lh,central,0.238187015,1.96,Non-Tertiary
66,n039t2,rh,ifs,0.17056258,2.123,Non-Tertiary
94,n039t2,lh,ifs,0.151317701,2.322,Non-Tertiary
122,n039t2,rh,imfs_h,0.215239853,1.798,Non-Tertiary
150,n039t2,lh,imfs_h,0.300694287,2.322,Non-Tertiary
178,n039t2,rh,imfs_v,0.088257603,1.612,Non-Tertiary
206,n039t2,lh,imfs_v,0.123684324,2.393,Non-Tertiary
234,n039t2,rh,iprs,0.271894425,2.469,Non-Tertiary
262,n039t2,lh,iprs,0.305738986,2.567,Non-Tertiary
290,n039t2,rh,pimfs,0.00400889,2.091,Tertiary
318,n039t2,lh,pimfs,-0.030431533,2.659,Tertiary
346,n039t2,rh,pmfs_a,0.13315694,1.926,Tertiary
374,n039t2,lh,pmfs_a,0.12745975,2.425,Tertiary
402,n039t2,rh,pmfs_i,-0.178639874,2.814,Tertiary
430,n039t2,lh,pmfs_i,0.001985439,2.274,Tertiary
458,n039t2,rh,pmfs_p,-0.06668485,2.366,Tertiary
486,n039t2,lh,pmfs_p,-0.363736033,3.131,Tertiary
514,n039t2,rh,sfs_a,0.274389356,2.172,Non-Tertiary
542,n039t2,lh,sfs_a,0.222214818,2.3,Non-Tertiary
570,n039t2,rh,sfs_p,0.266635925,2.384,Non-Tertiary
